X,Y,OBJECTID,PARKINGMID,ASSETID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,ACCESSIBLE,DURATION,FDMID,PARTNER,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,LEGACYID,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.582234010970524,44.644023937305732,59731,PKM7815,PKM7815,PKM,Halifax,,,,,Right-of-Way,,300,300001678,,In Service,,,Halifax,46,,2016-10-07T13:34:22.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.572760978058817,44.646203014739513,59732,PKM8021,PKM8021,PKM,Halifax,,,,,Right-of-Way,,90,300001538,,In Service,,,Halifax,15B,,2016-10-07T13:05:17.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593527416923443,44.647097296588363,59733,PKM8024,PKM8024,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,9B,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593554728403035,44.647145400737209,59734,PKM8025,PKM8025,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,11B,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593590198382032,44.647214030310479,59735,PKM8026,PKM8026,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,13B,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593618575263534,44.647336616060009,59736,PKM8027,PKM8027,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,17B,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593424998201279,44.646898825330197,59737,PKM8028,PKM8028,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,3A,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593460358585801,44.646973692236372,59738,PKM8033,PKM8033,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,5A,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593468900665833,44.646989894863182,59739,PKM8029,PKM8029,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,5B,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.593434797922718,44.646915040120987,59740,PKM8030,PKM8030,PKM,Halifax,,,,,Right-of-Way,,90,700004782,,In Service,,,Halifax,3B,,2016-10-07T13:57:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
